Semua Laporan Iklan CPC - Shopee Indonesia
Username,collectorparfumofficial
Nama Toko,Collector Parfum Official
ID Toko,61785301
Waktu Laporan Dibuat,13/08/2026 19:53
Periode,07/08/2026 - 13/08/2026

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Tambah ke Keranjang,Persentase Tambah ke Keranjang,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk,Voucher Amount,Vouchered Sales
1,Iklan Produk Otomatis,Berjalan,,-,-,Iklan Produk Otomatis,Semua Penempatan,06/06/2026 00:00:00,Tidak Terbatas,44664,2025,4.53%,-,-,217,109,10.72%,5.38%,1723.84,3431.87,283,132,19348907,7403727,374074,51.72,19.79,1.93%,5.05%,-,-,-,5909,152610
2,Collector Parfum - Parfume Refill 50|55|60 ML Pria Wanita Wangi Tahan Lama - EDP Isi Ulang Bandung [6],Berjalan,Iklan Produk,5704038705,-,GMV Max ROAS,Semua Penempatan,06/06/2026 00:00:00,Tidak Terbatas,21429,1428,6.66%,147,10.29%,159,131,11.13%,9.17%,3637.46,4414.93,220,183,20001571,18109856,578356,34.58,31.31,2.89%,3.19%,-,-,-,0,0
3,Collector Parfum - Parfume Refill 25|30|35ML Pria Wanita Wangi Tahan Lama - Farfum Isi Ulang Bandung [3],Berjalan,Iklan Produk,20169423456,-,GMV Max ROAS,Semua Penempatan,14/07/2026 00:00:00,Tidak Terbatas,13389,829,6.19%,104,12.55%,113,71,13.63%,8.56%,3033.99,4828.74,186,130,12425514,8339441,342841,36.24,24.32,2.76%,4.11%,-,-,-,0,0
4,Collector Parfum - Parfume Refill 3|10|15 ML Pria Wanita Wangi Tahan Lama - EDP Farfum Isi Ulang [2],Dijeda,Iklan Produk,25489306224,-,GMV Max ROAS,Semua Penempatan,06/06/2026 00:00:00,Tidak Terbatas,9729,378,3.89%,24,6.35%,26,11,6.88%,2.91%,4006.30,9469.43,39,24,2085198,711271,104164,20.02,6.83,5.00%,14.64%,-,-,-,0,0
